cycle	seed62	seed63	seed64	seed65	seed66
116000	13.7719	14.7107	12.7888	13.7348	13.749
117000	13.7555	14.7178	12.793	13.7242	13.7516
118000	13.7532	14.704	12.7825	13.7186	13.7459
119000	13.7526	14.7212	12.7918	13.7184	13.7472
120000	13.7755	14.7237	12.7911	13.7158	13.7614
121000	13.7705	14.6987	12.7821	13.7162	13.7694
122000	13.7446	14.7109	12.7866	13.7268	13.7511
123000	13.7808	14.7043	12.7882	13.7431	13.7584
124000	13.7691	14.7102	12.7866	13.723	13.7565
125000	13.7639	14.7089	12.7764	13.735	13.7506
126000	13.7521	14.6845	12.7704	13.7262	13.7794
127000	13.7571	14.719	12.7886	13.7327	13.7581
128000	13.7603	14.6904	12.7917	13.7298	13.7474
129000	13.7624	14.6896	12.7637	13.7387	13.7449
130000	13.745	14.7217	12.7895	13.737	13.7635
131000	13.7601	14.7015	12.788	13.7264	13.7547
132000	13.7671	14.6691	12.7772	13.7214	13.747
133000	13.7661	14.7093	12.792	13.725	13.7406
134000	13.7523	14.6838	12.7836	13.7083	13.7492
135000	13.772	14.6887	12.7855	13.7216	13.7626
136000	13.7814	14.697	12.7838	13.7323	13.756
137000	13.7669	14.6881	12.7823	13.7193	13.7624
138000	13.7668	14.6854	12.7982	13.716	13.7504
139000	13.767	14.6863	12.7903	13.7213	13.7595
140000	13.7475	14.6824	12.7759	13.7152	13.7622
141000	13.7763	14.6792	12.7919	13.7201	13.7551
142000	13.7607	14.67	12.7886	13.7262	13.7503
143000	13.7645	14.6718	12.7833	13.7333	13.7462
144000	13.7518	14.6703	12.7968	13.7045	13.7387
145000	13.7626	14.6745	12.7929	13.7178	13.7523
146000	13.7562	14.6646	12.7916	13.6976	13.7527
147000	13.7612	14.6637	12.7787	13.734	13.7637
148000	13.7516	14.6506	12.7676	13.7219	13.7388
149000	13.7657	14.665	12.7763	13.715	13.7591
150000	13.7672	14.6645	12.7676	13.7149	13.7531
151000	13.7876	14.6516	12.7826	13.7175	13.7514
152000	13.7557	14.6782	12.7887	13.7171	13.7488
153000	13.7624	14.6608	12.7815	13.7096	13.7457
154000	13.7717	14.6559	12.7839	13.7215	13.7408
155000	13.7883	14.6638	12.7938	13.7239	13.7513
156000	13.7851	14.6525	12.7776	13.7128	13.7422
157000	13.7584	14.6694	12.7909	13.6934	13.747
158000	13.7599	14.6517	12.7822	13.7052	13.7452
159000	13.7521	14.656	12.7909	13.7101	13.763
160000	13.7577	14.6607	12.7868	13.7033	13.7644
161000	13.7527	14.6693	12.7881	13.7092	13.7588
162000	13.757	14.6575	12.7883	13.7145	13.7549
163000	13.7627	14.661	12.7908	13.7107	13.7358
164000	13.7517	14.6631	12.7948	13.7234	13.7505
165000	13.7805	14.6482	12.798	13.7204	13.7524
166000	13.7756	14.664	12.7782	13.7081	13.7547
167000	13.7541	14.6551	12.7695	13.7212	13.7627
168000	13.7713	14.6473	12.7924	13.7089	13.7479
169000	13.765	14.6647	12.7726	13.7192	13.7622
170000	13.7479	14.63	12.7809	13.7237	13.7502
171000	13.7328	14.669	12.7848	13.7033	13.7607
172000	13.7509	14.668	12.7777	13.7268	13.7413
173000	13.7563	14.6624	12.7761	13.7316	13.7469
174000	13.7696	14.6673	12.7865	13.7101	13.7541
175000	13.769	14.6534	12.7902	13.7265	13.7489
176000	13.7674	14.6588	12.7892	13.7304	13.7505
177000	13.77	14.6705	12.7798	13.7166	13.7572
178000	13.7712	14.669	12.8	13.7054	13.7532
179000	13.763	14.6467	12.7834	13.6934	13.7521
180000	13.7725	14.6476	12.7819	13.716	13.7409
181000	13.7769	14.6527	12.7899	13.7194	13.743
182000	13.7687	14.6503	12.7949	13.7267	13.7596
183000	13.7584	14.6783	12.7873	13.7225	13.7507
184000	13.7593	14.6753	12.7854	13.7055	13.7541
185000	13.7833	14.6493	12.7825	13.725	13.7588
186000	13.7682	14.6676	12.7886	13.718	13.7282
187000	13.7576	14.6735	12.7878	13.7218	13.7362
188000	13.7821	14.6639	12.7766	13.7161	13.7299
189000	13.7818	14.6406	12.7693	13.7282	13.7642
190000	13.7533	14.6628	12.7924	13.7178	13.7549
191000	13.7488	14.6686	12.7823	13.7139	13.7449
192000	13.7559	14.6758	12.7901	13.7092	13.7446
193000	13.7706	14.6695	12.7774	13.726	13.7542
194000	13.7761	14.6671	12.7878	13.7115	13.7628
195000	13.7741	14.6713	12.7955	13.7188	13.73
196000	13.7606	14.656	12.7782	13.7144	13.7355
197000	13.7766	14.6755	12.7813	13.7261	13.7474
198000	13.7752	14.6629	12.7834	13.7208	13.7367
199000	13.7559	14.6433	12.7855	13.6909	13.7242
200000	13.7668	14.6723	12.7799	13.7138	13.7316
