cycle	seed62	seed63	seed64	seed65	seed66
115000	9.12737	11.3218	8.65772	8.64585	10.6187
116000	9.08511	11.3743	8.65611	8.65197	10.604
117000	9.09788	11.3543	8.71633	8.61403	10.5368
118000	9.12864	11.4273	8.7563	8.64621	10.5221
119000	9.04332	11.3978	8.73955	8.66983	10.5277
120000	9.04417	11.3386	8.71894	8.67627	10.5197
121000	9.11851	11.3404	8.68545	8.67599	10.4651
122000	9.09657	11.3458	8.66224	8.69896	10.3776
123000	9.11888	11.3573	8.6564	8.64097	10.3938
124000	9.12829	11.391	8.67688	8.63883	10.3624
125000	9.07768	11.3795	8.70937	8.68266	10.2883
126000	9.03697	11.3109	8.66399	8.64449	10.3119
127000	9.03964	11.3212	8.60521	8.60725	10.2971
128000	9.02963	11.2858	8.56538	8.56542	10.2737
129000	9.05232	11.2048	8.52491	8.57746	10.2728
130000	9.05229	11.2306	8.50038	8.57755	10.2312
131000	9.02955	11.2745	8.43862	8.52183	10.2588
132000	9.05257	11.2999	8.39445	8.55471	10.2072
133000	9.01699	11.3295	8.39421	8.54282	10.1911
134000	9.03695	11.2988	8.32642	8.52096	10.0877
135000	9.01939	11.2959	8.29158	8.46058	10.1211
136000	9.0368	11.2312	8.336	8.42285	10.0852
137000	9.0413	11.3	8.35331	8.40864	10.0237
138000	9.06377	11.3221	8.27577	8.40456	9.97961
139000	9.01214	11.3191	8.25197	8.37003	9.96688
140000	9.02137	11.266	8.27373	8.32459	9.94153
141000	9.00902	11.2826	8.26257	8.25471	9.93731
142000	9.06763	11.2179	8.22733	8.31674	9.8869
143000	9.12366	11.2315	8.16393	8.28308	9.90606
144000	9.15079	11.2574	8.23629	8.23082	9.92589
145000	9.14037	11.247	8.27086	8.21331	10.0063
146000	9.12138	11.2864	8.25303	8.22936	9.95136
147000	9.10252	11.3446	8.23397	8.1932	9.9655
148000	9.05951	11.3719	8.25435	8.19416	9.90639
149000	9.08806	11.3623	8.23812	8.18624	9.93205
150000	9.06124	11.3328	8.26148	8.19927	9.93876
151000	9.03041	11.3334	8.25801	8.24607	9.91701
152000	8.90218	11.302	8.2756	8.17534	9.88389
153000	8.76806	11.2608	8.18601	8.19247	9.89197
154000	8.61899	11.2906	8.23321	8.27612	9.84871
155000	8.59382	11.2382	8.28364	8.30289	9.82401
156000	8.58459	11.2589	8.21779	8.34742	9.8022
