cycle	seed62	seed63	seed64	seed65	seed66
114000	1.73172	1.83485	2.27786	1.82194	1.63178
115000	1.68867	1.85513	2.26265	1.82168	1.64146
116000	1.72042	1.88295	2.24007	1.79516	1.6365
117000	1.75073	1.85719	2.23406	1.83398	1.63775
118000	1.71709	1.86084	2.22761	1.83318	1.69503
119000	1.74145	1.78921	2.23183	1.80958	1.67624
120000	1.68239	1.87351	2.2425	1.79629	1.63814
121000	1.67622	1.91015	2.26764	1.83054	1.62998
122000	1.70789	1.87719	2.28393	1.80126	1.67524
123000	1.64886	1.86924	2.26053	1.77065	1.64271
124000	1.66599	1.85331	2.24559	1.82224	1.68048
125000	1.69234	1.87382	2.25334	1.78578	1.68751
126000	1.70317	1.88003	2.28979	1.82448	1.62167
127000	1.6932	1.86986	2.27126	1.81464	1.64171
128000	1.72968	1.87493	2.26033	1.8067	1.72102
129000	1.6938	1.9349	2.32227	1.82019	1.69059
130000	1.73598	1.83805	2.30071	1.82318	1.67173
131000	1.69891	1.88686	2.32653	1.86069	1.69958
132000	1.70102	1.90866	2.34508	1.82127	1.68515
133000	1.67852	1.85089	2.30743	1.8126	1.7414
134000	1.69294	1.91294	2.341	1.82677	1.70726
135000	1.67093	1.93102	2.33789	1.84213	1.68289
136000	1.66469	1.89885	2.34087	1.82992	1.68392
137000	1.6743	1.91815	2.34894	1.8504	1.6964
138000	1.70863	1.9365	2.36313	1.85224	1.72658
139000	1.70513	1.90582	2.3705	1.86366	1.7562
140000	1.70355	1.93325	2.40231	1.84504	1.72571
141000	1.71204	1.95349	2.37697	1.8682	1.72501
142000	1.70524	1.977	2.3457	1.82785	1.73672
143000	1.71212	1.95556	2.3918	1.80971	1.73933
144000	1.7166	1.95205	2.37976	1.86753	1.76722
145000	1.73393	1.9691	2.36197	1.813	1.7273
146000	1.72386	1.97387	2.36131	1.88662	1.79089
147000	1.71032	1.96096	2.37494	1.78325	1.70941
148000	1.71017	1.99688	2.39069	1.82335	1.78076
149000	1.75892	1.94889	2.36888	1.83144	1.75159
150000	1.71701	1.94727	2.38115	1.85471	1.71837
151000	1.68426	1.97353	2.36908	1.7979	1.74223
152000	1.74103	1.95185	2.35717	1.80864	1.73929
153000	1.68974	1.95897	2.42039	1.83327	1.72608
154000	1.63023	1.96415	2.38518	1.82704	1.76303
155000	1.59851	1.96191	2.34621	1.81305	1.77227
156000	1.61725	1.9879	2.42018	1.84502	1.7588
157000	1.63656	1.96647	2.36482	1.82138	1.78634
158000	1.66783	1.98493	2.39967	1.82394	1.75996
159000	1.65177	1.96357	2.36908	1.78165	1.73299
160000	1.6433	1.94542	2.34886	1.82939	1.74984
161000	1.6449	1.95121	2.37585	1.78781	1.75502
162000	1.63369	1.96188	2.35425	1.78224	1.77991
163000	1.61787	1.94681	2.33774	1.82702	1.82887
164000	1.6237	1.96364	2.34973	1.78104	1.77762
165000	1.60969	1.94019	2.32281	1.76017	1.79988
166000	1.58625	1.94156	2.34953	1.79457	1.78042
167000	1.60298	1.94194	2.39458	1.80385	1.77253
168000	1.58319	1.96995	2.35756	1.83727	1.77561
169000	1.61037	1.96196	2.37671	1.80821	1.76071
170000	1.66958	2.01484	2.35365	1.79448	1.7914
171000	1.64417	1.9637	2.3789	1.8362	1.78485
172000	1.60475	1.93848	2.36971	1.79749	1.79564
173000	1.58676	1.96433	2.36271	1.79633	1.7965
174000	1.58422	1.93141	2.37571	1.84202	1.78389
175000	1.59545	1.95806	2.35833	1.79538	1.78984
176000	1.60224	1.98276	2.33912	1.79703	1.78889
177000	1.576	1.95187	2.35365	1.79523	1.79213
178000	1.58948	1.9498	2.31492	1.82746	1.77109
179000	1.6018	2.02103	2.31086	1.86787	1.77516
180000	1.58689	2.00557	2.33649	1.78642	1.78861
181000	1.56351	1.95743	2.33281	1.81733	1.79402
182000	1.58612	1.98331	2.29607	1.79552	1.75766
183000	1.60009	1.91447	2.34374	1.83837	1.77166
184000	1.58006	1.95664	2.34181	1.84199	1.7572
185000	1.53263	1.98338	2.37341	1.84343	1.73486
186000	1.55394	1.97942	2.35129	1.82264	1.80604
187000	1.57169	1.95993	2.36059	1.79691	1.77139
188000	1.54711	1.95243	2.36089	1.79865	1.82193
189000	1.56751	1.9958	2.3487	1.75426	1.7824
190000	1.57791	1.95176	2.28347	1.82636	1.74003
191000	1.57934	1.96692	2.35084	1.83747	1.7968
192000	1.55591	1.94445	2.34457	1.83908	1.82221
193000	1.54013	1.95821	2.31968	1.76779	1.79286
194000	1.55269	1.92675	2.30027	1.83592	1.76582
195000	1.5625	1.94273	2.31061	1.79883	1.82548
196000	1.57377	2.01639	2.32921	1.77869	1.85768
197000	1.53719	1.9537	2.30786	1.78537	1.80559
198000	1.54249	1.99327	2.31908	1.79917	1.87638
199000	1.56735	1.98182	2.32958	1.81467	1.85948
200000	1.55249	1.94168	2.2976	1.78994	1.87719
